datetime,model_used,total_api_calls,total_input_tokens,total_output_tokens,total_time_minutes,gre_questions,gmat_questions
2025-12-04T22:20:24.797131,gemini-2.5-flash,553,0.925M,0.147M,29.52,71,45
2025-12-05T14:05:58.347648,gemini-2.5-flash,662,0.450M,0.190M,27.91,82,54
2025-12-05T16:25:34.726692,gemini-2.5-flash,599,0.417M,0.200M,24.72,75,49
2025-12-06T14:45:20.095712,gemini-2.5-flash,646,0.499M,0.165M,22.44,79,54
2025-12-06T17:28:38.724211,gemini-2.5-flash,611,0.468M,0.179M,23.88,72,54
2025-12-12T04:13:12.738545,deepseek,634,2.336M,0.586M,24.07,82,52
2025-12-12T04:46:04.848486,deepseek,669,2.308M,0.103M,2.90,85,56
2025-12-12T05:17:00.205095,deepseek,674,2.746M,0.090M,2.64,84,57
2025-12-12T05:42:31.726486,deepseek,652,2.721M,0.099M,3.20,83,54
2025-12-12T06:21:11.333222,deepseek,656,2.756M,0.098M,3.16,84,54
2025-12-12T07:03:07.744043,deepseek,647,2.722M,0.104M,3.46,0,54
2025-12-12T06:52:18.025703,deepseek,662,2.679M,0.100M,3.85,0,55
2025-12-12T07:25:38.081504,deepseek,649,2.691M,0.093M,3.63,0,54
2025-12-17T23:51:37.973929,deepseek,681,3.040M,0.104M,3.04,0,56
2025-12-18T01:18:10.098623,deepseek,676,2.967M,0.096M,3.76,0,57
2025-12-18T02:46:56.520787,deepseek,834,4.339M,0.141M,4.87,0,57
2025-12-18T04:35:44.641017,deepseek,829,4.905M,0.200M,5.73,0,55
2025-12-18T05:24:45.509275,deepseek,679,2.604M,1.071M,24.11,0,56
2025-12-20T21:52:02.408303,deepseek,812,4.053M,0.150M,4.57,0,56
2025-12-20T23:36:37.578286,deepseek,732,3.007M,1.209M,23.10,0,54
2025-12-21T00:06:31.544328,deepseek,664,2.401M,1.112M,24.18,0,57
2025-12-21T05:14:56.785351,deepseek,685,2.475M,1.132M,26.94,82,64
2025-12-21T10:01:15.239165,deepseek,709,3.099M,1.295M,30.27,83,68
2025-12-21T16:53:34.605363,deepseek,707,3.030M,1.339M,27.56,84,67
2025-12-21T17:11:33.901739,deepseek,886,4.473M,0.136M,3.69,85,66
2025-12-21T17:24:25.351616,deepseek,730,3.454M,0.096M,3.36,86,69
2025-12-21T17:31:52.268655,deepseek,708,3.290M,1.391M,27.35,85,66
