datetime,model_used,total_api_calls,total_input_tokens,total_output_tokens,total_time_minutes,gre_questions,gmat_questions
2025-12-04T22:20:24.797131,gemini-2.5-flash,553,0.925M,0.147M,29.52,71,45
2025-12-05T14:05:58.347648,gemini-2.5-flash,662,0.450M,0.190M,27.91,82,54
2025-12-05T16:25:34.726692,gemini-2.5-flash,599,0.417M,0.200M,24.72,75,49
2025-12-06T14:45:20.095712,gemini-2.5-flash,646,0.499M,0.165M,22.44,79,54
2025-12-06T17:28:38.724211,gemini-2.5-flash,611,0.468M,0.179M,23.88,72,54
2025-12-12T04:13:12.738545,deepseek,634,2.336M,0.586M,24.07,82,52
2025-12-12T04:46:04.848486,deepseek,669,2.308M,0.103M,2.90,85,56
2025-12-12T05:17:00.205095,deepseek,674,2.746M,0.090M,2.64,84,57
2025-12-12T05:42:31.726486,deepseek,652,2.721M,0.099M,3.20,83,54
2025-12-12T06:21:11.333222,deepseek,656,2.756M,0.098M,3.16,84,54
2025-12-12T07:03:07.744043,deepseek,647,2.722M,0.104M,3.46,0,54
2025-12-12T06:52:18.025703,deepseek,662,2.679M,0.100M,3.85,0,55
2025-12-12T07:25:38.081504,deepseek,649,2.691M,0.093M,3.63,0,54
2025-12-17T23:51:37.973929,deepseek,681,3.040M,0.104M,3.04,0,56
2025-12-18T01:18:10.098623,deepseek,676,2.967M,0.096M,3.76,0,57
2025-12-18T02:46:56.520787,deepseek,834,4.339M,0.141M,4.87,0,57
2025-12-18T04:35:44.641017,deepseek,829,4.905M,0.200M,5.73,0,55
2025-12-18T05:24:45.509275,deepseek,679,2.604M,1.071M,24.11,0,56
2025-12-20T21:52:02.408303,deepseek,812,4.053M,0.150M,4.57,0,56
2025-12-20T23:36:37.578286,deepseek,732,3.007M,1.209M,23.10,0,54
2025-12-21T00:06:31.544328,deepseek,664,2.401M,1.112M,24.18,0,57
2025-12-21T05:14:56.785351,deepseek,685,2.475M,1.132M,26.94,82,64
2025-12-21T10:01:15.239165,deepseek,709,3.099M,1.295M,30.27,83,68
2025-12-21T16:53:34.605363,deepseek,707,3.030M,1.339M,27.56,84,67
2025-12-21T17:11:33.901739,deepseek,886,4.473M,0.136M,3.69,85,66
2025-12-21T17:24:25.351616,deepseek,730,3.454M,0.096M,3.36,86,69
2025-12-21T17:31:52.268655,deepseek,708,3.290M,1.391M,27.35,85,66
2025-12-24T00:07:57.303564,deepseek,696,2.350M,1.274M,24.08,82,67
2025-12-24T01:05:36.760530,deepseek,0,0.000M,0.000M,0.02,0,0
2025-12-24T02:49:15.065954,deepseek,699,2.504M,1.312M,32.61,82,66
2025-12-24T07:41:03.671125,deepseek,717,2.623M,1.315M,33.54,83,69
2025-12-24T19:15:15.071421,deepseek,716,2.838M,1.265M,24.88,83,69
2025-12-25T01:34:33.383938,deepseek,698,2.623M,1.218M,28.92,83,66
2025-12-25T10:21:10.284418,deepseek,730,2.771M,1.276M,29.69,85,69
2025-12-25T12:12:41.260837,deepseek,695,2.548M,1.226M,25.61,83,65
2025-12-26T02:59:38.766827,deepseek,701,2.648M,1.223M,29.43,85,65
2025-12-26T04:19:01.353475,deepseek,718,2.882M,1.272M,30.15,86,67
2025-12-26T04:19:53.537491,deepseek,699,2.620M,1.249M,31.26,84,65
2025-12-26T04:20:46.757011,deepseek,699,2.616M,1.257M,30.36,84,65
2025-12-28T01:07:09.418828,deepseek,0,0.000M,0.000M,0.02,0,0
2025-12-28T01:45:02.577403,deepseek,702,2.623M,1.314M,29.07,83,66
2025-12-28T01:46:00.861217,deepseek,713,2.710M,1.268M,30.04,84,68
2025-12-28T01:47:21.170032,deepseek,703,2.623M,1.277M,31.38,85,65
2025-12-28T02:14:32.033718,deepseek,703,2.812M,1.290M,28.52,82,67
2025-12-28T02:14:56.947306,deepseek,689,2.675M,1.307M,29.91,82,65
2025-12-29T04:20:46.840797,deepseek,709,2.687M,1.261M,31.89,85,66
2025-12-29T05:30:22.805356,deepseek,701,2.673M,1.269M,27.83,84,65
2025-12-29T05:30:40.325350,deepseek,705,2.513M,1.286M,28.12,85,65
2025-12-29T05:31:33.007057,deepseek,714,2.666M,1.309M,29.00,84,68
2025-12-29T05:32:22.000171,deepseek,725,2.877M,1.323M,29.81,87,67
2025-12-29T05:32:32.039870,deepseek,708,2.735M,1.335M,29.98,83,67
2026-01-16T21:37:37.134083,deepseek,0,0.000M,0.000M,0.00,0,0
2026-01-16T21:37:58.815591,deepseek,0,0.000M,0.000M,0.00,0,0
2026-01-16T21:40:27.739279,deepseek,4,0.006M,0.005M,2.30,1,0
2026-03-16T11:51:10.707230,deepseek,0,0.000M,0.000M,0.00,0,0
2026-03-16T22:18:30.142662,deepseek,921,2.131M,0.052M,5.82,106,80
2026-03-16T23:44:47.465901,deepseek,921,2.154M,0.054M,6.26,106,80
